_year	_age	sex	prob
1959	60	2	.989593
1959	61	2	.989859
1959	62	2	.989261
1959	63	2	.986605
1959	64	2	.986084
1959	65	2	.983428
1959	66	2	.982271
1959	67	2	.979349
1959	68	2	.975852
1959	69	2	.975246
1959	70	2	.971291
1959	71	2	.964138
1959	72	2	.963078
1959	73	2	.958067
1959	74	2	.953156
1959	75	2	.948021
1959	76	2	.939854
1959	77	2	.932278
1959	78	2	.926168
1959	79	2	.914447
1959	80	2	.901467
1959	81	2	.893642
1959	82	2	.880918
1959	83	2	.871472
1959	84	2	.860573
1959	85	2	.839386
1959	86	2	.819297
1959	87	2	.806244
1959	88	2	.788312
1959	89	2	.771541
1959	90	2	.750659
1959	91	2	.722389
1959	92	2	.663571
1959	93	2	.676554
1959	94	2	.665628
1959	95	2	.596033
1959	96	2	.449958
1959	97	2	.618403
1959	98	2	.526682
1959	99	2	.487805
1959	100	2	.333333
1959	101	2	.353846
1959	102	2	.44186
1959	103	2	.478261
1959	104	2	.1
1959	105	2	.4
1959	106	2	0
1959	107	2	0
1959	108	2	0
1959	109	2	0
1959	110	2	0
1960	0	1	.981112
1960	1	1	.998541
1960	2	1	.999199
1960	3	1	.999266
1960	4	1	.999196
1960	5	1	.999275
1960	6	1	.999541
1960	7	1	.999335
1960	8	1	.999621
1960	9	1	.999683
1960	10	1	.999647
1960	11	1	.99979
1960	12	1	.999702
1960	13	1	.999525
1960	14	1	.999444
1960	15	1	.999431
1960	16	1	.999162
1960	17	1	.998946
1960	18	1	.998957
1960	19	1	.999043
1960	20	1	.998868
1960	21	1	.998922
1960	22	1	.998777
1960	23	1	.998877
1960	24	1	.999212
1960	25	1	.999032
1960	26	1	.998835
1960	27	1	.999108
1960	28	1	.998685
1960	29	1	.998663
1960	30	1	.998935
1960	31	1	.998695
1960	32	1	.998739
1960	33	1	.998464
1960	34	1	.998439
1960	35	1	.998425
1960	36	1	.998254
1960	37	1	.998235
1960	38	1	.998258
1960	39	1	.998264
1960	40	1	.99748
1960	41	1	.997891
1960	42	1	.99762
1960	43	1	.997483
1960	44	1	.996662
1960	45	1	.996769
1960	46	1	.996862
1960	47	1	.996125
1960	48	1	.995523
1960	49	1	.994997
1960	50	1	.995203
1960	51	1	.994288
1960	52	1	.993395
1960	53	1	.993189
1960	54	1	.992567
1960	55	1	.991642
1960	56	1	.989542
1960	57	1	.989085
1960	58	1	.987304
1960	59	1	.984965
1960	60	1	.984556
1960	61	1	.982995
1960	62	1	.981306
1960	63	1	.979297
1960	64	1	.977984
1960	65	1	.974475
1960	66	1	.973866
1960	67	1	.969611
1960	68	1	.965295
1960	69	1	.962813
1960	70	1	.957346
1960	71	1	.954043
1960	72	1	.950445
1960	73	1	.94157
1960	74	1	.937932
1960	75	1	.932925
1960	76	1	.927487
1960	77	1	.915327
1960	78	1	.904345
1960	79	1	.897462
1960	80	1	.890559
1960	81	1	.872701
1960	82	1	.859034
1960	83	1	.844254
1960	84	1	.829216
1960	85	1	.826439
1960	86	1	.797839
1960	87	1	.779445
1960	88	1	.745016
1960	89	1	.717281
1960	90	1	.685538
1960	91	1	.703365
1960	92	1	.697761
1960	93	1	.598039
1960	94	1	.553299
1960	95	1	.470428
1960	96	1	.466472
1960	97	1	.46247
1960	98	1	.484979
1960	99	1	.104478
1960	100	1	.217391
1960	101	1	.636364
1960	102	1	.428571
1960	103	1	0
1960	104	1	0
1960	105	1	0
1960	106	1	0
1960	107	1	0
1960	108	1	0
1960	109	1	0
1960	110	1	0
1960	0	2	.985793
1960	1	2	.998625
1960	2	2	.99947
1960	3	2	.999494
1960	4	2	.999299
1960	5	2	.999588
1960	6	2	.999533
1960	7	2	.999638
1960	8	2	.999867
1960	9	2	.999739
1960	10	2	.999751
1960	11	2	.999696
1960	12	2	.999721
1960	13	2	.999791
1960	14	2	.999794
1960	15	2	.999653
1960	16	2	.999708
1960	17	2	.999566
1960	18	2	.999441
1960	19	2	.999561
1960	20	2	.999642
1960	21	2	.999555
1960	22	2	.999582
1960	23	2	.999414
1960	24	2	.999536
1960	25	2	.999455
1960	26	2	.999286
1960	27	2	.999349
1960	28	2	.999302
1960	29	2	.999317
1960	30	2	.999167
1960	31	2	.999157
1960	32	2	.999362
1960	33	2	.99897
1960	34	2	.99933
1960	35	2	.999073
1960	36	2	.998726
1960	37	2	.998979
1960	38	2	.998702
1960	39	2	.998636
1960	40	2	.99855
1960	41	2	.998204
1960	42	2	.998305
1960	43	2	.998039
1960	44	2	.998051
1960	45	2	.997481
1960	46	2	.997191
1960	47	2	.99687
1960	48	2	.996163
1960	49	2	.996688
1960	50	2	.995994
1960	51	2	.996028
1960	52	2	.994982
1960	53	2	.99565
1960	54	2	.99445
1960	55	2	.99421
